iso_code;continent;location;date;population
PYF;Oceania;French Polynesia;28/05/2020;280904
PYF;Oceania;French Polynesia;29/05/2020;280904
PYF;Oceania;French Polynesia;30/05/2020;280904
PYF;Oceania;French Polynesia;31/05/2020;280904
PYF;Oceania;French Polynesia;1/06/2020;280904
PYF;Oceania;French Polynesia;2/06/2020;280904
PYF;Oceania;French Polynesia;3/06/2020;280904
PYF;Oceania;French Polynesia;4/06/2020;280904
PYF;Oceania;French Polynesia;5/06/2020;280904
PYF;Oceania;French Polynesia;6/06/2020;280904
PYF;Oceania;French Polynesia;7/06/2020;280904
PYF;Oceania;French Polynesia;8/06/2020;280904
GAB;Africa;Gabon;13/03/2020;2225728
GAB;Africa;Gabon;15/03/2020;2225728
GAB;Africa;Gabon;16/03/2020;2225728
GAB;Africa;Gabon;17/03/2020;2225728
GAB;Africa;Gabon;18/03/2020;2225728
GAB;Africa;Gabon;19/03/2020;2225728
GAB;Africa;Gabon;20/03/2020;2225728
GAB;Africa;Gabon;21/03/2020;2225728
GAB;Africa;Gabon;22/03/2020;2225728
GAB;Africa;Gabon;23/03/2020;2225728
GAB;Africa;Gabon;24/03/2020;2225728
GAB;Africa;Gabon;25/03/2020;2225728
GAB;Africa;Gabon;26/03/2020;2225728
GAB;Africa;Gabon;27/03/2020;2225728
GAB;Africa;Gabon;28/03/2020;2225728
GAB;Africa;Gabon;29/03/2020;2225728
GAB;Africa;Gabon;30/03/2020;2225728
GAB;Africa;Gabon;31/03/2020;2225728
GAB;Africa;Gabon;1/04/2020;2225728
GAB;Africa;Gabon;2/04/2020;2225728
GAB;Africa;Gabon;3/04/2020;2225728
GAB;Africa;Gabon;4/04/2020;2225728
GAB;Africa;Gabon;5/04/2020;2225728
GAB;Africa;Gabon;6/04/2020;2225728
GAB;Africa;Gabon;7/04/2020;2225728
GAB;Africa;Gabon;8/04/2020;2225728
GAB;Africa;Gabon;9/04/2020;2225728
GAB;Africa;Gabon;10/04/2020;2225728
GAB;Africa;Gabon;11/04/2020;2225728
